node_id,lat,lon
28863797,48.1932068,19.2545542
28863806,48.2117962,19.3341552
28863807,48.2150463,19.338028
28863808,48.2122657,19.3455707
28863809,48.2115389,19.352126
28863828,48.2752856,19.4598404
28863832,48.2856107,19.4844157
28863833,48.2901471,19.4908324
29531624,48.4684205,19.5441396
29531628,48.4667067,19.5522032
29531629,48.4667302,19.5538445
29531631,48.4658758,19.5557521
29531638,48.4627841,19.5660728
29531644,48.4465857,19.5793632
29531650,48.4304124,19.5948164
29531655,48.4147757,19.6041201
29531662,48.4016685,19.618842
29531665,48.3964963,19.6254534
29531683,48.3672371,19.6493216
29531701,48.3461029,19.677214
29531705,48.3412997,19.6855714
29531714,48.357237,19.7482562
29531859,48.3499637,19.5874818
30729425,48.3417475,19.6839187
30729428,48.2731016,19.8066026
30729431,48.2900093,19.7558419
30729441,48.2969191,19.7429301
35578287,48.3286353,19.6691195
36376945,48.4058593,19.4959297
36376946,48.4068765,19.4922521
36378753,48.4064179,19.4952307
36379317,48.4298854,19.5026064
36379325,48.4284749,19.5038925
36379407,48.4073801,19.4945759
36379663,48.358049,19.5702972
36380755,48.3630689,19.5723961
36380760,48.3653385,19.5746635
36380762,48.3658038,19.5744688
36380763,48.3664518,19.573821
36380765,48.3687055,19.5713762
36380767,48.3713956,19.5691494
36380888,48.4277505,19.5078693
36381386,48.4048777,19.4975617
36381488,48.4061617,19.4975047
36381490,48.4071025,19.496427
36661775,48.3406989,19.6850207
36664205,48.3225763,19.6689155
36664403,48.2992139,19.6654252
36784430,48.3250366,19.6680939
36786258,48.3247488,19.6655829
36786259,48.3247053,19.6645484
36786298,48.326226,19.6659395
36786299,48.3277325,19.6662439
36786300,48.3262066,19.6649599
36786303,48.3259646,19.6620246
36786308,48.325722,19.6585443
36786309,48.3256518,19.6568671
36786312,48.3272541,19.6579437
36786317,48.3303893,19.6419102
37328953,48.3321899,19.6444729
37328955,48.3308952,19.6502341
37328965,48.3297435,19.65786
